Handle,Command,Title,Author,Body HTML,Summary HTML,Tags,Tags Command,Published,Published At,Image Src,Image Alt Text,Blog: Handle,Metafield: sga.thumbnail [file_reference],Metafield: sga.total_time_minutes [number_integer],Metafield: sga.servings [number_integer],Metafield: sga.dietary [list.single_line_text_field],Metafield: sga.main_product [product_reference],Metafield: sga.related_products [list.product_reference],Metafield: sga.related_articles [list.article_reference],Metafield: sga.you_might_also_like [list.article_reference],Metafield: sga.you_might_also_like_heading [single_line_text_field],Metafield: sga.related_products_heading [single_line_text_field],Metafield: sga.ingredients [list.single_line_text_field],Metafield: sga.ingredient_products [list.product_reference],Metafield: sga.eyebrow [single_line_text_field],Metafield: sga.serving_tip [single_line_text_field],Metafield: sga.difficulty [single_line_text_field],Metafield: sga.instructions [list.single_line_text_field]
krupave-aladinovy-pralinky,MERGE,Křupavé Aladinovy pralinky,Sonnentor,,Jsou skvělým dárkem pro milé přátele.,"Dezerty & sladké, Jednohubky, Svačina",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36504/image-thumb__36504__thumb-slider/krupave-aladinovy-pralinky.2d0ba31f.jpg,Křupavé Aladinovy pralinky,recipes,krupave-aladinovy-pralinky-thumb.jpg,60,1,"vegetariánské, bez lepku",,,,"cokoladove-grissini, jablecne-cupcaky, chai-orechovy-muffin, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kavovy-lanyz, kouzelna-cokoladova-pena, nakladane-ostruziny","Recepty, které by vám také mohly chutnat",,"[""200|g|hořké čokolády"",""5|lžic|smetany"",""4|lžíce|Chia semínka bio""]",aladinovo-koreni-do-kavy-bio-35g,Recept,,,"[""Čokoládu rozpusťte ve vodní lázni. Následně do čokolády opatrně zamíchejte smetanu a 10 g Aladinova koření."",""Hmotu nechte cca 20 minut chládnout. Pokud je příliš tvrdá, můžete ji krátce znovu zahřát. Z čokoládové hmoty tvarujte malé kuličky a obalte je v chia semínkách. Skladujte v chladném prostředí a vychutnáte si je déle čerstvé.""]"
keksy-kurkuma-latte,MERGE,Keksy Kurkuma Latte,Sonnentor,,Chutné plněné keksy s kořením Kurkuma Latte.,"Pečení, Dezerty & sladké, Děti, Jednohubky, Piknik, Svačina, Superfood",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36505/image-thumb__36505__thumb-slider/keksy-kurkuma-latte.81bc0f96.jpg,Keksy Kurkuma Latte,recipes,keksy-kurkuma-latte-thumb.jpg,180,1,vegetariánské,,,,"cokoladove-grissini, jablecne-cupcaky, chai-orechovy-muffin, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kavovy-lanyz, kouzelna-cokoladova-pena, nakladane-ostruziny","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""200|g|másla"",""100|g|cukru (práškového)"",""1||vejce"",""300|g|mouky"",""30|g|kukuřičného škrobu"",""||troška vanilkového prášku"",""3|lžíce|cukru"",""200|ml|mléka""]","ayurvedska-kouzelna-sul-jemna-konv-150g, kurkuma-latte-vanilka-bio-60g",Recept,,,"[""Vyšlehejte máslo, vejce a cukr. Pak přidejte mouku, vypracujte těsto a cca 2 hodiny nechte odpočinout v lednici. V 50 ml mléka rozmíchejte kukuřičný škrob, cukr, vanilku a 5 g Kurkuma Latte vanilku. Zbytek mléka zahřejte a poté do něj vlejte rozmíchanou kurkumovou směs. Krátce povařte do ztuhnutí, odstavte a nechte vychladnout."",""Troubu si předehřejte na 200 °C. Těsto rozválejte na pomoučené desce a vykrojte požadované tvary. Pečte cca 10–12 minut. Upečené, vychladnuté keksy slepujeme kurkumovou hmotou.""]"
datlove-kulicky,MERGE,Datlové kuličky,Sonnentor,,Zdravá varianta cukroví nebo rychlá pochoutka jen tak ke kávě.,"Dezerty & sladké, Svačina, S sebou, Jednohubky, Superfood",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36506/image-thumb__36506__thumb-slider/datlove-kulicky.da7ad9ec.jpg,Datlové kuličky,recipes,datlove-kulicky-thumb.jpg,20,1,"veganské, vegetariánské, bez lepku, bez laktózy",,,,"cokoladove-grissini, jablecne-cupcaky, chai-orechovy-muffin, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kavovy-lanyz, kouzelna-cokoladova-pena, nakladane-ostruziny","Recepty, které by vám také mohly chutnat",,"[""100|g|čerstvých datlí"",""50|g|mandlí"",""20|g|pomerančové kůry""]",chai-polibek-orientu-bio-70g,Recept,,,"[""Všechny suroviny rozmixujte v mixéru. Důkladně prohněťte mokrýma rukama a tvarujte kuličky.""]"
tortilla-s-paprikovym-hummusem,MERGE,Tortilla s paprikovým hummusem,Sonnentor,,Paprikový humus dodává tortille ten správný říz.,"zelenina, Léto, Jednohubky, S sebou, Rychlá kuchyně, Sbohem soli / bez soli",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36507/image-thumb__36507__thumb-slider/tortilla-s-paprikovym-hummusem.18bb40f1.jpg,Tortilla s paprikovým hummusem,recipes,tortilla-s-paprikovym-hummusem-thumb.jpg,30,2,"veganské, vegetariánské, bez laktózy",,,,"cokoladove-grissini, polevka-z-korenove-zeleniny, lososovy-pstruh-peceny-v-troube, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, filety-ze-sivena-se-zeleninou-a-ruzovymi-poupaty, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kouzelna-cokoladova-pena","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""2|ks|papriky"",""2|ks|pórku"",""1|hrst|klíčků"",""1|hrst|špenátu"",""1|hrst|čerstvé máty peprné"",""1||avokáda"",""1||limeta"",""3|ks|tortill"",""1|hrst|naklíčených semínek"",""2|ks|papriky"",""1|konzerva|uvařené cizrny"",""1|lžíce|Tahini pasty"",""2|lžíce|olivového oleje"",""1||kůry z citronu""]","chilli-bio-extra-ostre-mlete-40g-kayensky-pepr, sbohem-soli-zeleninova-bio-55-g",Recept,,,"[""Všechny přísady na humus rozmixujte v mixéru a přidejte 2 lžíce koření Sbohem, soli!."",""Papriku nakrájejte na kostičky, pórek a avokádo na nudličky. Tortilly krátce opečte na pánvi z obou stran. Potřete je 2 lžícemi paprikového humusu, na kraji ponechte trochu místa. Na tortillu položte lístky špenátu, papriku, pórek, avokádo a klíčky. Mátu nasekejte nadrobno a posypte na zeleninu společně se semínky. Pokapejte šťávou z citronu. Dochuťte trochou koření. Tortillu zabalte a podávejte, nebo si ji vezměte na cestu.""]"
pohankove-gnocchi-s-pecenou-zeleninou,MERGE,Pohankové gnocchi s pečenou zeleninou,Sonnentor,,Tradiční gnocchi trochu jinak.,"Sbohem soli / bez soli, zelenina, Léto",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36509/image-thumb__36509__thumb-slider/pohankove-gnocchi-s-pecenou-zeleninou.11bbae46.jpg,Pohankové gnocchi s pečenou zeleninou,recipes,pohankove-gnocchi-s-pecenou-zeleninou-thumb.jpg,60,4,"veganské, vegetariánské, bez lepku, bez laktózy",,,,"polevka-z-korenove-zeleniny, lososovy-pstruh-peceny-v-troube, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, filety-ze-sivena-se-zeleninou-a-ruzovymi-poupaty, kouzelna-cokoladova-pena, orientalni-ledovy-caj, knedliky, boruvkovy-kolac-peceny-v-hrnku","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""750|g|uvařených brambor"",""3|lžíce|olivového oleje"",""||Sbohem, soli!"",""2|lžičky|Umeboshi pasta"",""45|g|polenty"",""80|g|pohankové mouky"",""1||lilek"",""3||mrkve"",""1||cuketa"",""5||cherry rajčat"",""3||šalotky"",""2|stroužky|česneku"",""||olivového oleje""]",tymian-bio-20g,Recept,,,"[""Brambory cca 50 minut pečte v troubě na 180 °C. Mezitím umyjte zeleninu, nakrájejte na kostičky a tenké plátky. Česnek rozmačkejte. Lilek, mrkve, cuketu a šalotku osmažte na oleji a poté přemístněte na plech, přidejte rajčata, česnek, tymián a zakápněte olivovým olejem. Vyjměte upečené brambory z trouby a dejte péct zeleninu na 180 °C cca 20–30 minut. Brambory oloupejte, nastrouhejte najemno a přidejte zbývající suroviny pro přípravu gnocchi. Těsto bude trošku lepkavé. Dejte vařit vodu. Těsto rozdělte na 4 části a z každé části vyválejte asi 1 cm tlustý pás, který nakrájejte na 1 cm velké kousky. Každý kousek smotejte do klubíčka a přitlačte vidličkou. 5 Gnocchi vařte ve vroucí vodě asi 1 minutu, vyndejte a nechte okapat. Poté je přeneste do pánve s rozehřátým olejem, orestujte dozlatova a podávejte společně s pečenou zeleninou a dochuťte kořením Sbohem sol! Středomořská.""]"
rychle-kurkumove-brownies,MERGE,Rychlé kurkumové brownies,Sonnentor,,Prohřívající kurkuma a sladká vanilka? Ideální kombinace pro lahodné brownies!,"Pečení, Dezerty & sladké, Děti, Svačina, Piknik, S sebou",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36510/image-thumb__36510__thumb-slider/rychle-kurkumove-brownies.e3f625e2.jpg,Rychlé kurkumové brownies,recipes,rychle-kurkumove-brownies-thumb.jpg,45,1,vegetariánské,,,,"cokoladove-grissini, jablecne-cupcaky, chai-orechovy-muffin, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kavovy-lanyz, kouzelna-cokoladova-pena, nakladane-ostruziny","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""180|g|špaldové celozrnné mouky"",""2|lžíce|kakaa"",""90|g|cukru"",""1.5|lžička|prášku do pečiva"",""80|g|kokosového oleje"",""100|g|strouhaných jablek"",""1|lžíce|jablečného octu"",""200|ml|studené vody"",""100|g|tvarohu (klasika nebo sójový)"",""2|lžíce|medu""]","vanilka-bio-mleta-10-g, kurkuma-latte-vanilka-bio-60g",Recept,,,"[""Předehřejte troubu na 170 °C. V míse smíchejte sypké suroviny – mouku, kakao, cukr, prášek do pečiva a vanilku (půl lžičky). Kokosový olej opatrně zahřejte, aby se rozpustil, ale nebyl horký. Pomalu přidejte do sypké směsi společně s nastrouhanými jablky, jablečným octem, vodou a vypracujte v hladké těsto. Vylijte ho na plech (20x20 cm) vyložený pečicím papírem."",""V misce smíchejte tvaroh, Kurkumu Latte vanilku (1 lžíce) a med. Tuto směs po lžičkách přidávejte do těsta a vidličkou vytvořte mozaiku. Pečte v předehřáté troubě na 170 °C cca 25 minut. Můžete servírovat i teplé, za chladného počasí krásně prohřeje!""]"
spagety-dobre-nalady-s-dynovymi-seminky,MERGE,Špagety dobré nálady s dýňovými semínky,Sonnentor,,Rychlé a chutné jídlo!,"Rychlá kuchyně, Koření - květy, Dýně",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36513/image-thumb__36513__thumb-slider/spagety-dobre-nalady-s-dynovymi-seminky.3b76c58a.jpg,Špagety dobré nálady s dýňovými semínky,recipes,spagety-dobre-nalady-s-dynovymi-seminky-thumb.jpg,20,1,"vegetariánské, veganské, bez laktózy",,,,"cokoladove-grissini, polevka-z-korenove-zeleniny, bouillabaisse-s-bagetkou, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kouzelna-cokoladova-pena, orientalni-ledovy-caj","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""150|g|špaget"",""4|lžíce|dýňových semínek"",""5|lžic|sójové smetany"",""3|lžíce|dýňového oleje"",""1|hrst|klíčků"",""||šťáva z poloviny červeného pomeranče""]","ayurvedska-kouzelna-sul-do-mlynku-konv-150g, pepr-barevny-bio-cely-50g, dobra-nalada-smes-kvetu-a-koreni-bio-25g",Recept,,,"[""Těstoviny uvařte v osolené vodě. Vodu slejte, těstoviny se smetanou ohřejte a přidejte mletá dýňová semínka, sůl, pepř a nechte na mírném plameni prohřát. Dochuťte dýňovým olejem a směsí květů a koření Dobrá nálada. Při servírování přelejte šťávou z pomeranče a ozdobte klíčky.""]"
valentynsky-raw-dort,MERGE,Valentýnský raw dort,Sonnentor,,Klasický recept v novém provedení.,"Dezerty & sladké, Superfood, Svačina, Koření - květy",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36514/image-thumb__36514__thumb-slider/valentynsky-raw-dort.f4299bf4.jpg,Valentýnský raw dort,recipes,valentynsky-raw-dort-thumb.jpg,150,1,"veganské, vegetariánské, bez laktózy, bez lepku",,,,"cokoladove-grissini, jablecne-cupcaky, polevka-z-korenove-zeleniny, bouillabaisse-s-bagetkou, chai-orechovy-muffin, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kavovy-lanyz","Recepty, které by vám také mohly chutnat",,"[""1||pohár odpeckovaných datlí"",""1||pohár oříšků"",""||špetka soli"",""1.5||pohár namočených kešu ořechů"",""||šťáva z citronu"",""0.75||poháry mléka z kešu ořechů"",""0.5||pohár Agáve sirupu"",""3|lžíce|kokosového oleje""]",sila-kvetu-smes-kvetu-a-koreni-bio-35g,Recept,,,"[""Všechny ingredience určené pro korpus mixujte v mixéru, dokud se nevytvoří lepivá hmota. Rozprostřete ji na dno dortové formy, řádně upěchujte a nechte odpočinout v lednici."",""Všechny přísady na krém mixujte v mixéru, dokud nevznikne jemná pasta. Hmota může být trošku řídká, proto ji uložte do lednice, aby malinko ztuhla. Pak naneste na připravený korpus, posypte Sílou květů a nechte ještě 2 hodiny ztuhnout v lednici.""]"
kurkumove-detox-smoothie,MERGE,Kurkumové detox smoothie,Sonnentor,,Připraveno za 5 minut.,"Superfood, Léto, Jaro, nápoje, S sebou, Svačina, Nápoje",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36520/image-thumb__36520__thumb-slider/kurkumove-detox-smoothie.a6f9a7fc.jpg,Kurkumové detox smoothie,recipes,kurkumove-detox-smoothie-thumb.jpg,5,1,"vegetariánské, veganské, bez lepku",,,,"cokoladove-grissini, lososovy-pstruh-peceny-v-troube, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, pulmesicky-vsechno-nejmilejsi, kouzelna-cokoladova-pena, orientalni-ledovy-caj, knedliky, nakladane-ostruziny","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""||šťáva z půlky citronu"",""||šťáva z pomeranče"",""100|g|skyru"",""1|lžíce|kešu oríšků"",""1||banány""]","kurkuma-bio-40g, zazvor-citron-sirup-bio-500-ml, kurkuma-latte-vanilka-bio-60g",Recept,Toto smoothie je díky jedinečné kombinaci surovin tím pravým detoxem!,,"[""Všechny přísady rozmixujeme v mixéru do hladka.""]"
kurkumovo-mrkvova-detox-polevka,MERGE,Kurkumovo-mrkvová detox polévka,Sonnentor,,Co může být v chladných dnech lepšího než horká polévka?,"Polévky, Podzim, Zima, zelenina, S sebou, Svačina, Sbohem soli / bez soli",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36521/image-thumb__36521__thumb-slider/kurkumovo-mrkvova-detox-polevka.33424c66.jpg,Kurkumovo-mrkvová detox polévka,recipes,kurkumovo-mrkvova-detox-polevka-thumb.jpg,70,4,"veganské, vegetariánské, bez lepku",,,,"cokoladove-grissini, jablecne-cupcaky, polevka-z-korenove-zeleniny, bouillabaisse-s-bagetkou, paprikova-polevka-s-polentou, peceny-kapri-filet-v-makovem-obalu, filety-ze-sivena-se-zeleninou-a-ruzovymi-poupaty, rolada-z-krkovicky-s-dynovym-pyre","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""850|g|mrkve"",""200|g|petržele"",""1||cibule"",""||2–3⁠⁠⁠⁠⁠ lžíce nastrouhaného zázvoru"",""||olivového oleje"",""||Pepř bílý"",""1|stroužek|česneku"",""300|g|listového špenátu"",""2|lžíce|skyru""]","zeleninova-polevka-sv-hildegardy-bio-ve-sklenicce, sbohem-soli-zeleninova-bio-55-g, zazvor-citron-sirup-bio-500-ml, kurkuma-bio-40g",Recept,,,"[""Cibuli oloupejte a nakrájejte najemno, přidejte nastrouhaný zázvor a osmažte na oleji do měkka. Poté přidejte na kostičky nakrájenou mrkev a petržel, orestujte. Podlejte zázvorovým sirupem, krátce povařte. Následně zalijte vývarem, přidejte lžíci kurkumy, lžíci koření Sbohem, soli! a vařte 25–30 minut. Podle potřeby dochuťte solí a pepřem."",""Česnek oloupejte, nakrájejte na tenké plátky a společně se špenátem krátce blanšírujte (podlité trochou vývaru). Polévku po uvaření rozmixujte a podávejte ozdobenou blanšírovaným špenátem a kopečkem bílého jogurtu.""]"
ovocna-smoothie-miska-s-jahodami,MERGE,Ovocná smoothie miska s jahodami,Sonnentor,,Rychlý a zdravý start do nového dne!,"Snídaně, S sebou, Svačina, Superfood, Dezerty & sladké",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36522/image-thumb__36522__thumb-slider/ovocna-smoothie-miska-s-jahodami.934b528a.jpg,Ovocná smoothie miska s jahodami,recipes,ovocna-smoothie-miska-s-jahodami-thumb.jpg,10,4,vegetariánské,,,,"cokoladove-grissini, jablecne-cupcaky, chai-orechovy-muffin, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kavovy-lanyz, kouzelna-cokoladova-pena, kvaskovy-chleb","Recepty, které by vám také mohly chutnat",,"[""200|g|drobného ovoce"",""1||banány"",""3|lžíce|skyru"",""2|lžičky|müsli"",""125|ml|mléka"",""2|lžičky|medu"",""4|ks|jahod"",""1|lžička|Chia semínka bio"",""1|lžíce|müsli"",""1|lžička|borůvek""]",sila-kvetu-smes-kvetu-a-koreni-bio-35g,Recept,"Lehká, zdravá svačina, která vás zasytí.",,"[""Ovoce, jogurt, müsli, mléko, med a Sílu květů rozmixujte ve smoothie mixéru na hladké pyré a servírujte do misky. Smoothie misku dekorujte müsli, Sílou květů, chia semínky, borůvkami, čerstvými jahodami a ihned podávejte.""]"
miska-smoothie-s-acai,MERGE,Miska smoothie s Acaí,Sonnentor,,Smoothie se nemusí podávat vždy jen ve skle.,"Snídaně, Dezerty & sladké, S sebou, Rychlá kuchyně, Svačina",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36525/image-thumb__36525__thumb-slider/miska-smoothie-s-acai.db5a6b30.jpg,Miska smoothie s Acaí,recipes,miska-smoothie-s-acai-thumb.jpg,10,2,"vegetariánské, veganské, bez laktózy, bez lepku",,,,"cokoladove-grissini, jablecne-cupcaky, polevka-z-korenove-zeleniny, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-orechovy-muffin, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kavovy-lanyz","Recepty, které by vám také mohly chutnat",,"[""150|g|mražených malin"",""2|lžíce|prášku Acaí"",""2|ks|vypeckovaných datlí"",""1|ks|banán"",""50|ml|mandlového nebo kokosového mléka"",""1|hrst|borůvek"",""2|lžíce|mandlí"",""2|lžíce|goji"",""1|lžíce|chia semínek"",""0.5|ks|banán"",""1|ks|kiwi"",""0.25||svazek pár snítek čerstvé máty (nemusí být)""]",sila-kvetu-smes-kvetu-a-koreni-bio-35g,Recept,Místo plodů goji můžete použít také aronii nebo borůvky. Kdo má rád sladké přidá lžičku medu nebo javorového sirupu.,,"[""Mražené jahody rozmixujte. Přidejte prášek Acaí, vypeckované datle, banány, mléko a rozmixujte na krémové smoothie. Podle potřeby přidejte mléko. Smoothie nalejte do misek, posypte chia semínky, přidejte plody goji, kiwi, banány nakrájené na plátky, koření Síla květů, lístky máty a posypte nasekanými mandlemi.""]"
pikantni-palacinky-s-rukolou,MERGE,Pikantní palačinky s rukolou,Sonnentor,,s citronovou omáčkou a granátovým jablkem,"Rychlá kuchyně, Jarní kuchyně",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36526/image-thumb__36526__thumb-slider/pikantni-palacinky-s-rukolou.bd07eedd.jpg,Pikantní palačinky s rukolou,recipes,pikantni-palacinky-s-rukolou-thumb.jpg,30,2,vegetariánské,,,,"polevka-z-korenove-zeleniny, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, orientalni-ledovy-caj, wongovy-ryzove-karbanatky, nakladane-ostruziny, boruvkovy-kolac-peceny-v-hrnku","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""100|g|čerstvé rukoly"",""1|hrst|bazalky"",""1|ks|jarní cibulky"",""2|ks|vajíček"",""40|g|celozrnné mouky"",""1|lžička|prášku do pečiva"",""60|ml|sojového mléka"",""200|g|tvarohu"",""||Pepř černý"",""2|lžíce|másla"",""1|ks|citronu"",""2|lžíce|sojového mléka"",""50|g|odtučněného tvarohu"",""||cukru"",""2|lžíce|zrníček z granátového jablka"",""1|hrst|rukoly""]","ayurvedska-kouzelna-sul-jemna-konv-150g, dobra-nalada-smes-kvetu-a-koreni-bio-25g",Recept,,,"[""Rukolu, bazalku a jarní cibulku nasekejte najemno. Oddělte žloutky od bílků. Z bílků a špetky soli vyšlehejte tuhý sníh. V misce smíchejte žloutky, mouku, prášek do pečiva a mléko. Přimíchejte tvaroh, sůl a pepř. Přidejte rukolu, bazalku, jarní cibulku a dobře promíchejte. Nakonec vmíchejte sníh z bílků. Na pánvi rozpusťte máslo. Naběračku směsi smažte na pánvičce 2–3 minuty z každé strany dozlatova (ne příliš zprudka, palačinky by měly být uprostřed vláčné, ale ne bílé). Citron dobře omyjte a nastrouhejte 1 lžíci kůry. Vymačkejte z něj šťávu. Z tvarohu, mléka (ev. šlehačky), citronové kůry a šťávy, soli, pepře a cukru vytvořte omáčku. Granátové jablko rozpulte a vydlabejte z něj šťavnatá semínka. Palačinky na talíři přelejte omáčkou a dozdobte rukolou a granátovým jablkem.""]"
asijske-cuketove-nudle,MERGE,Asijské cuketové nudle,Sonnentor,,s cherry rajčátky a kešu ořechy,Rychlá kuchyně,REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36527/image-thumb__36527__thumb-slider/asijske-cuketove-nudle.9e8be2dd.jpg,Asijské cuketové nudle,recipes,asijske-cuketove-nudle-thumb.jpg,25,2,"bez lepku, bez laktózy",,,,"polevka-z-korenove-zeleniny, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, orientalni-ledovy-caj, wongovy-ryzove-karbanatky, nakladane-ostruziny, boruvkovy-kolac-peceny-v-hrnku","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""||česneku"",""150|g|cherry rajčátek"",""4|lžíce|olivového oleje"",""2||cukety"",""||hrst namočených kešu oříšků"",""2|lžíce|medu"",""2|lžíce|sezamu"",""1||avokáda"",""1||svazek jarní cibulky"",""2|lžíce|sójové omáčky"",""1|lžíce|rybí omáčky"",""||šťáva z půlky limetky""]","ayurvedska-kouzelna-sul-jemna-konv-150g, chilli-bio-mlete-40g, pepr-cerny-bio-mlety-50g, koreni-na-tofu-pani-yoko-bio-32g",Recept,,,"[""Předehřejte troubu na 180 °C. Oloupejte česnek a dejte jej do pečicí formy spolu s rajčátky. Pokapejte olivovým olejem, osolte a pečte cca 25–30 min. Cuketu oloupejte, odřízněte oba konce a nakrájejte na nudle, nebo k vytvoření nudlí použijte spiralizér. Po 30 sekund je oplachujte horkou vodou. Na posypku opražte kešu oříšky na pánvi bez tuku. Přidejte med, sezam a chilli a pražte, dokud se směs nespojí. Odstraňte pecku z avokáda a měkký vnitřek vydlabejte a nakrájejte na proužky. Nakrájejte jarní cibulku. Ze sóji, rybí omáčky a limetkové šťávy vytvořte dresink. Nudle z cukety dejte do mísy. Přidejte jarní cibulku, dresink a dobře promíchejte. Servírujte do hlubokých talířů. Ozdobte cherry rajčátky, česnekem a avokádem. Servírujte s ořechovou posypkou. Dle potřeby dosolte.""]"
